grid_code,latitude,longitude,height,coordinate_system,notes
CS011E04,37.23411759,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS011E05,37.23411759,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS011E06,37.23411759,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS010E01,37.23412208,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS010E02,37.23412208,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS010E03,37.23412208,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS010E04,37.23412208,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS010E05,37.23412208,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS010E06,37.23412208,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS009E01,37.23412658,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS009E02,37.23412658,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS009E03,37.23412658,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS009E04,37.23412658,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS009E05,37.23412658,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS009E06,37.23412658,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS008E01,37.23413107,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS008E02,37.23413107,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS008E03,37.23413107,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS008E04,37.23413107,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS008E05,37.23413107,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS008E06,37.23413107,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS007E01,37.23413556,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS007E02,37.23413556,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS007E03,37.23413556,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS007E04,37.23413556,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS007E05,37.23413556,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS007E06,37.23413556,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS006E01,37.23414005,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS006E02,37.23414005,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS006E03,37.23414005,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS006E04,37.23414005,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS006E05,37.23414005,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS006E06,37.23414005,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS005E01,37.23414454,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS005E02,37.23414454,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS005E03,37.23414454,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS005E04,37.23414454,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS005E05,37.23414454,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS005E06,37.23414454,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS004E01,37.23414903,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS004E02,37.23414903,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS004E03,37.23414903,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS004E04,37.23414903,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS004E05,37.23414903,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS004E06,37.23414903,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS003E01,37.23415353,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS003E02,37.23415353,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS003E03,37.23415353,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS003E04,37.23415353,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS003E05,37.23415353,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS003E06,37.23415353,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS002E01,37.23415802,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS002E02,37.23415802,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS002E03,37.23415802,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS002E04,37.23415802,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS002E05,37.23415802,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS002E06,37.23415802,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS001E01,37.23416251,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS001E02,37.23416251,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS001E03,37.23416251,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS001E04,37.23416251,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS001E05,37.23416251,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CS001E06,37.23416251,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CC000E01,37.234167,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CC000E02,37.234167,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CC000E03,37.234167,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CC000E04,37.234167,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CC000E05,37.234167,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
